ID,ProductID,SupplierName,SupplierCountry,SupplierContactEmail,Specifications,MarketingMaterial
1,1,Yirgacheffe Cooperative,Ethiopia,info@yirgacheffecoop.et,"Origin: Yirgacheffe region, Ethiopia\nAltitude: 1,700 - 2,200 meters\nVariety: Heirloom Ethiopian varieties\nProcess: Washed\nRoast: Medium-light\nTasting Notes: Bright citrus, floral, bergamot\nAroma: Fragrant with notes of jasmine and lemon zest\nBody: Light to medium\nAcidity: High and lively\nPackage: 12 oz (340g) bag with one-way valve for freshness\nRoast Date: Clearly stamped on each bag","Experience the bright and fruity notes of our Ethiopian Yirgacheffe, a coffee that captures the essence of its birthplace. Grown in the lush hills of the Yirgacheffe region, known as the birthplace of coffee, these beans are cultivated by small-scale farmers who have perfected their craft over generations.\n\nThe high altitude and ideal growing conditions contribute to the coffee's complex flavor profile. Each sip reveals a delightful combination of citrus brightness, floral undertones, and a distinctive bergamot note reminiscent of Earl Grey tea.\n\nOur direct partnership with the Yirgacheffe Cooperative ensures that farmers receive fair compensation for their exceptional product. By choosing this coffee, you're not just treating yourself to a superior cup, but also supporting sustainable farming practices and community development in Ethiopia."
2,2,Federación Nacional de Cafeteros,Colombia,export@cafedecolombia.com,"Origin: Huila region, Colombia\nAltitude: 1,500 - 1,900 meters\nVariety: Caturra, Castillo\nProcess: Washed\nRoast: Medium\nTasting Notes: Chocolate, caramel, mild citrus\nAroma: Sweet with hints of nuts and caramel\nBody: Medium to full\nAcidity: Balanced and smooth\nPackage: 12 oz (340g) bag with one-way valve for freshness\nRoast Date: Clearly stamped on each bag","Indulge in the smooth and well-balanced flavors of our Colombian Supremo, a coffee that exemplifies the rich tradition of Colombian coffee production. Sourced from the prestigious Huila region, known for producing some of the country's finest beans, this coffee offers a perfect harmony of flavor and body.\n\nThe Huila region's unique microclimate and fertile volcanic soil contribute to the coffee's distinguished taste profile. With each sip, you'll discover a delightful combination of chocolate and caramel notes, complemented by a subtle citrus brightness.\n\nOur partnership with the Colombian Coffee Growers Federation (FNC) ensures that this coffee is not only of the highest quality but also ethically sourced. The FNC's commitment to sustainable farming practices and community development means that your purchase supports over 500,000 coffee-growing families across Colombia."
3,3,Kenya Cooperative Coffee Exporters,Kenya,info@kencoffee.coop,"Origin: Nyeri County, Kenya\nAltitude: 1,700 - 2,000 meters\nVariety: SL28, SL34, Ruiru 11\nProcess: Washed\nRoast: Medium\nTasting Notes: Blackcurrant, grapefruit, brown sugar\nAroma: Intense with berry and citrus notes\nBody: Full\nAcidity: Bright and vibrant\nPackage: 12 oz (340g) bag with one-way valve for freshness\nRoast Date: Clearly stamped on each bag","Discover the bold and complex flavors of our Kenyan AA, a coffee that showcases the very best of East African coffee production. Grown in the fertile soils of Nyeri County, at the foot of the Aberdare Range, these beans benefit from ideal growing conditions that contribute to their exceptional quality.\n\nKenyan AA is the highest grade of coffee from this region, based on bean size and quality. The result is a cup that bursts with flavor - expect a delightful combination of bright blackcurrant and grapefruit notes, rounded off with a sweet brown sugar finish.\n\nOur direct trade relationship with the Kenya Cooperative Coffee Exporters ensures that farmers receive premium prices for their top-quality beans. By choosing this coffee, you're supporting sustainable farming practices and contributing to community development projects in Kenya's coffee-growing regions."
4,4,Coopedota R.L.,Costa Rica,info@coopedota.com,"Origin: Tarrazú region, Costa Rica\nAltitude: 1,600 - 1,900 meters\nVariety: Caturra, Catuai\nProcess: Washed\nRoast: Medium\nTasting Notes: Apple, honey, almond\nAroma: Sweet with hints of fruit and nuts\nBody: Medium\nAcidity: Bright and clean\nPackage: 12 oz (340g) bag with one-way valve for freshness\nRoast Date: Clearly stamped on each bag","Experience the crisp and clean profile of our Costa Rican Tarrazu, a coffee that embodies the precision and care of Costa Rican coffee production. Grown in the high-altitude regions of Tarrazú, known as one of the finest coffee-growing areas in Costa Rica, these beans develop a unique flavor profile thanks to the region's ideal microclimate and rich volcanic soils.\n\nWith each sip, you'll discover a harmonious blend of apple-like fruitiness, sweet honey notes, and a subtle almond finish. The bright, clean acidity is a hallmark of high-quality Costa Rican coffees, making this an excellent choice for those who appreciate a lively cup.\n\nOur partnership with Coopedota, the world's first carbon-neutral coffee producer, ensures that this coffee is not only delicious but also environmentally sustainable. By choosing this coffee, you're supporting a cooperative that's leading the way in reducing the coffee industry's carbon footprint."
5,5,Mandheling Coffee Cooperative,Indonesia,export@mandhelingcoffee.id,"Origin: Lintong region, Sumatra, Indonesia\nAltitude: 1,300 - 1,500 meters\nVariety: Typica, Catimor\nProcess: Wet-hulled (Giling Basah)\nRoast: Dark\nTasting Notes: Earthy, herbal, dark chocolate\nAroma: Complex with woody and spicy notes\nBody: Full, syrupy\nAcidity: Low\nPackage: 12 oz (340g) bag with one-way valve for freshness\nRoast Date: Clearly stamped on each bag","Immerse yourself in the rich, earthy flavors of our Sumatra Mandheling, a coffee that captures the wild essence of the Indonesian archipelago. Grown in the Lintong region near Lake Toba, the world's largest volcanic lake, these beans develop their distinctive characteristics from the area's volcanic soil and unique processing method.\n\nThe wet-hull process, known locally as Giling Basah, is what gives Sumatran coffees their famous body and low acidity. This results in a cup that's full-bodied and syrupy, with complex earthy and herbal notes complemented by a rich dark chocolate undertone.\n\nOur partnership with the Mandheling Coffee Cooperative ensures that this exceptional coffee is ethically sourced. The cooperative works to promote sustainable farming practices and improve the livelihoods of small-scale farmers in the region. By choosing this coffee, you're not just enjoying a unique taste experience, but also supporting community development in one of the world's most ancient coffee-growing regions."
6,6,Antigua Coffee Producers,Guatemala,info@antiguacoffee.gt,"Origin: Antigua Valley, Guatemala\nAltitude: 1,500 - 1,800 meters\nVariety: Bourbon, Caturra\nProcess: Washed\nRoast: Medium\nTasting Notes: Chocolate, spice, subtle fruit\nAroma: Rich with hints of cocoa and cinnamon\nBody: Medium to full\nAcidity: Balanced and smooth\nPackage: 12 oz (340g) bag with one-way valve for freshness\nRoast Date: Clearly stamped on each bag","Savor the rich and complex flavors of our Guatemalan Antigua, a coffee that exemplifies the best of Central American coffee production. Grown in the Antigua Valley, surrounded by three volcanoes, these beans benefit from mineral-rich volcanic soil and a unique microclimate that contribute to their exceptional quality.\n\nEach sip offers a harmonious blend of chocolate notes, subtle spices, and a hint of fruit. The balanced acidity and smooth body make this coffee perfect for any time of day.\n\nOur partnership with Antigua Coffee Producers ensures fair prices for farmers and supports sustainable farming practices in the region. By choosing this coffee, you're not only treating yourself to a superior cup but also contributing to the preservation of Guatemala's rich coffee heritage."
7,7,Kona Coffee Farmers Association,USA,info@konacoffee.com,"Origin: Kona District, Hawaii, USA\nAltitude: 600 - 900 meters\nVariety: Kona Typica\nProcess: Washed\nRoast: Medium\nTasting Notes: Smooth, sweet, with hints of nuts and fruit\nAroma: Delicate with floral and nutty notes\nBody: Medium\nAcidity: Mild and pleasant\nPackage: 8 oz (227g) bag with one-way valve for freshness\nRoast Date: Clearly stamped on each bag","Experience the smooth and delicate flavors of our Hawaiian Kona, a rare and sought-after coffee grown on the slopes of Mauna Loa volcano. The unique climate of the Kona Coffee Belt, with its sunny mornings, cloudy afternoons, and mild nights, creates ideal conditions for these exceptional beans.\n\nKona coffee is known for its smooth, sweet flavor profile with subtle notes of nuts and fruit. The mild acidity and medium body make it a perfect choice for those who prefer a gentler cup of coffee.\n\nOur direct relationship with the Kona Coffee Farmers Association ensures that you're getting 100% pure Kona coffee, supporting the small family farms that have been cultivating this prized coffee for generations. By choosing this coffee, you're experiencing a true taste of Hawaii and supporting American coffee farmers."
8,8,ABC Coffee Co. Roasters,USA,info@abccoffee.com,"Origin: Blend of Central and South American beans\nAltitude: Various (800 - 1,800 meters)\nVariety: Mixed (Arabica)\nProcess: Washed\nRoast: Light\nTasting Notes: Bright, crisp, with subtle citrus notes\nAroma: Fresh and inviting\nBody: Light to medium\nAcidity: Lively and refreshing\nPackage: 12 oz (340g) bag with one-way valve for freshness\nRoast Date: Clearly stamped on each bag","Start your day right with our Breakfast Blend, a carefully crafted mix of Central and South American coffees designed to awaken your senses. This light roast brings out the bright, crisp flavors of the beans, with subtle citrus notes that dance on your palate.\n\nThe lively acidity and light body make this blend perfect for morning sipping, providing a refreshing and energizing start to your day. It's an ideal choice for those who appreciate a cleaner, more nuanced cup of coffee.\n\nOur master roasters have perfected this blend to ensure a consistent and delightful experience with every brew. Whether you're rushing out the door or savoring a leisurely weekend morning, our Breakfast Blend is the perfect companion to greet the day."
9,9,ABC Coffee Co. Roasters,USA,info@abccoffee.com,"Origin: Blend of South American and African beans\nAltitude: Various (1,200 - 2,000 meters)\nVariety: Mixed (Arabica)\nProcess: Washed and Natural\nRoast: Medium\nTasting Notes: Balanced, smooth, with notes of nuts and cocoa\nAroma: Rich and inviting\nBody: Medium\nAcidity: Balanced\nPackage: 12 oz (340g) bag with one-way valve for freshness\nRoast Date: Clearly stamped on each bag","Discover the perfect balance of flavor in our House Blend, a signature coffee that represents the heart of ABC Coffee Co. This carefully crafted medium roast combines the best qualities of South American and African coffees, resulting in a smooth, well-rounded cup.\n\nWith its harmonious notes of nuts and cocoa, our House Blend offers a comforting and satisfying experience that's perfect for any time of day. The balanced acidity and medium body make it versatile enough to be enjoyed black or with your favorite additions.\n\nOur roasters have fine-tuned this blend over years, ensuring that each cup delivers consistent quality and flavor. Whether you're a coffee connoisseur or just looking for a reliable daily brew, our House Blend is sure to please."
10,10,ABC Coffee Co. Roasters,USA,info@abccoffee.com,"Origin: Blend of Indonesian and South American beans\nAltitude: Various (1,000 - 1,800 meters)\nVariety: Mixed (Arabica)\nProcess: Washed and Semi-Washed\nRoast: Dark\nTasting Notes: Bold, intense, with notes of dark chocolate and spice\nAroma: Strong and robust\nBody: Full\nAcidity: Low\nPackage: 12 oz (340g) bag with one-way valve for freshness\nRoast Date: Clearly stamped on each bag","Indulge in the rich, bold flavors of our Dark Roast Blend, a coffee that's not for the faint of heart. This intense blend combines the best Indonesian and South American beans, roasted to perfection to bring out deep, complex flavors.\n\nEach sip delivers a full-bodied experience with pronounced notes of dark chocolate and a hint of spice. The low acidity and strong, robust aroma make this an ideal choice for those who prefer their coffee with a powerful punch.\n\nOur master roasters have carefully developed this blend to ensure that the dark roast enhances, rather than masks, the inherent qualities of the beans. Whether you need a strong start to your morning or a rich after-dinner treat, our Dark Roast Blend is sure to satisfy."
