CallLogID,EmployeeID,CustomerID,CallDateTime,Notes
1,8,1,2024-10-01 10:00:00,"Discussed new Ethiopian Yirgacheffe launch. Customer excited about fruity notes. Agreed to initial order of 20 lbs. Follow-up: Send sample pack and pricing sheet."
2,9,2,2024-10-01 14:00:00,"Reviewed Q3 sales performance. Customer interested in increasing order volume for Q4. Decision: 15% volume increase. Action: Update contract and send for signature."
3,10,3,2024-10-02 09:30:00,"Introduced new eco-friendly packaging options. Customer keen on compostable bags for retail sales. Action: Send samples of new packaging and cost breakdown."
4,11,4,2024-10-02 13:45:00,"Addressed concerns about recent shipment delays. Explained new logistics partnership. Customer satisfied with solution. Follow-up: Monitor next two shipments closely."
5,12,5,2024-10-03 11:00:00,"Quarterly review meeting. Discussed upcoming holiday blends. Customer pre-ordered 100 lbs of Winter Wonderland blend. Action: Process pre-order and confirm shipping date."
6,8,6,2024-10-03 15:30:00,"Explored opportunity for co-branded coffee for customer's 10th anniversary. Decision: Move forward with custom blend creation. Next steps: Schedule tasting session for three proposed blends."
7,9,7,2024-10-04 10:15:00,"Addressed customer's interest in single-origin coffees. Provided overview of our direct trade relationships. Action: Arrange virtual meet-and-greet with one of our partner farmers."
8,10,8,2024-10-04 14:30:00,"Discussed potential for expanding into cold brew market. Customer interested but cautious. Decision: Start with small batch trial. Follow-up: Send cold brew equipment recommendations and recipes."
9,11,9,2024-10-05 09:00:00,"Reviewed customer's café equipment needs. Recommended upgrade to our new precision grinder. Decision: Customer will purchase 3 units. Action: Process order and arrange installation."
10,12,10,2024-10-05 13:15:00,"Addressed customer's concern about consistency across multiple locations. Proposed barista training program. Decision: Schedule training for 15 staff members. Action: Coordinate with training department for dates."
11,8,11,2024-10-06 11:30:00,"Introduced new loyalty program for wholesale customers. Customer very interested. Decision: Enroll in program starting next month. Action: Send enrollment forms and program details."
12,9,12,2024-10-06 15:45:00,"Discussed sustainability initiatives. Customer impressed with our carbon-neutral roasting process. Action: Provide marketing materials highlighting our eco-friendly practices for use in their café."
13,10,13,2024-10-07 10:00:00,"Quarterly business review. Sales up 20% YoY. Customer interested in expanding product range. Decision: Add our tea line to their offerings. Action: Send tea catalog and sampling kit."
14,11,14,2024-10-07 14:15:00,"Addressed recent quality control issue with espresso blend. Explained steps taken to prevent future occurrences. Customer satisfied with response. Action: Send replacement batch at no cost."
15,12,15,2024-10-08 09:45:00,"Explored opportunities for local event collaborations. Customer interested in hosting monthly coffee tasting events. Decision: Start with pilot event next month. Action: Draft event proposal and marketing plan."
16,8,16,2024-10-08 13:30:00,"Discussed customer's expansion plans. They're opening two new locations. Decision: Provide comprehensive coffee bar setup for both locations. Action: Arrange site visits and create custom equipment package."
17,9,17,2024-10-09 11:00:00,"Introduced new coffee subscription service for customer's retail customers. Customer excited about potential. Decision: Launch pilot program in one month. Action: Set up online portal and train staff on management."
18,10,18,2024-10-09 15:15:00,"Addressed customer's interest in offering more diverse brewing methods. Recommended pour-over bar setup. Decision: Start with trial in flagship store. Action: Design custom pour-over station and create training module."
